Type	ID	Earthquake_occurrenceTime	Epicenter_Lon	Epicenter_Lat	Epicenter_Mag	Epicenter_Depth	    EEW_Lon 	EEW_Lat	EEW_Mag	EEW_Dep EEW_processing_time 
xY	320	201802061617057 	121.6123	23.9882	4.9	5.91	121.66	23.97	4.9	10	18
xY	321	201802061626045 	121.609	23.9948	4.37	6.85	121.66	23.98	4.5	10	24
xY	322	201802061800013 	121.729	24.1157	5.38	6.69	121.75	24.11	5.3	10	19
xY	323	201802061807039 	121.7092	24.0402	5.39	4.17	121.69	24.05	5.1	10	20
xY	324	201802061915028 	121.7272	24.0105	5.46	5.65	121.72	24	5.2	10	21
xY	325	201802061936036 	121.7167	24.0018	4.84	7.06	121.73	23.99	4.9	20	18
xY	326	201802062056022 	121.6797	24.0595	4.92	7.17	121.7	24.05	4.8	10	19
xY	327	201802062311042 	121.7115	24.0613	4.87	5.94	121.71	24.05	4.6	10	21
xY	328	201802062343051 	121.6533	24.0272	4.92	7.45	121.68	24.02	4.7	10	18
xY	329	201802070218002 	121.7182	24.0735	4.99	7.68	121.71	24.08	4.8	10	21
xY	330	201802070336018 	121.7382	24.081	5.17	7.42	121.8	24.05	5	10	21
xY	331	201802070337036 	121.7287	24.068	4.47	8.75	121.74	24.07	4.6	10	26
xY	332	201802070507038 	121.7217	23.9863	4.37	7.43	121.66	24.01	4.5	10	24
xY	333	201802071019047 	121.6745	24.2138	4.53	12.66	121.7	24.19	4.5	10	21
xY	334	201802071113005 	121.7295	24	5.03	8.24	121.73	24	5	10	21
xY	335	201802071251058 	121.6428	24.2485	4.01	15.14	121.66	24.2	4.5	20	20
xY	336	201802071306040 	121.771	24.079	5.14	7.18	121.77	24.07	4.9	10	23
xY	337	201802071419019 	121.7675	23.964	4.62	5.14	121.77	23.98	4.7	10	22
xY	338	201802071521030 	121.777	24.0818	5.85	7.75	121.72	24.13	5.6	10	18
xY	339	201802071556004 	121.8155	24.1003	4.43	6	121.72	24.16	4.5	10	22
xY	340	201802080054017 	121.5807	23.968	5.07	11.54	121.63	23.94	4.9	10	18
xY	341	201802080306004 	121.6	23.96	4.82	8.77	121.62	23.95	4.7	10	16
xY	342	201802090214003 	121.5995	23.927	4.73	21.64	121.6	23.92	4.6	20	18
xY	343	201802091843009 	121.81	24.03	4.71	5.82	121.77	24.06	4.5	10	21
xY	344	201802100748049 	121.8388	24.2263	4.73	10.91	121.76	24.23	4.5	10	25
xY	345	201802141827032 	121.8117	24.1793	4.37	7.73	121.81	24.19	4.5	10	25
xY	346	201802170906036 	121.3212	22.6337	4.5	20.37	121.33	22.61	4.7	10	42
xY	347	201802191447001 	121.6137	24.5878	5.53	52.68	121.57	24.65	5.1	30	16
xY	348	201802212310041 	121.5337	23.413	5.66	35.57	121.47	23.49	5.4	20	22
xY	349	201802251828040 	121.8958	24.4313	5.45	22.11	121.82	24.48	5	20	17
xY	350	201803031735051 	121.7133	24.1772	4.91	10.13	121.72	24.18	4.9	10	16
xY	351	201803060942010 	121.8642	24.7033	4.94	81.73	121.68	24.81	4.7	50	29
xY	352	201803200922056 	120.5407	23.2982	5.31	11.21	120.57	23.29	5.4	10	13
xY	353	201803221427051 	120.6208	23.5932	4.73	7.66	120.61	23.58	4.9	10	14
xY	354	201803281029057 	121.975	24.6457	4.92	63.65	121.73	24.86	4.5	30	26
xY	355	201803290017050 	121.0147	24.0042	5	11.08	121.04	23.99	5	10	14
xY	356	201804011602004 	120.8453	23.818	4.51	29.55	120.86	23.82	4.5	20	16
xY	357	201805012347004 	122.3617	24.018	5.59	24.75	122.24	24.02	5.7	10	32
xY	358	201805310103018 	121.2258	22.8608	4.76	8.65	121.33	22.82	5.1	10	25
xY	359	201806011743026 	121.4787	23.94	4.34	18.93	121.5	23.93	4.5	20	17
xY	360	201806020201010 	121.0485	23.885	4.77	18.25	121.05	23.89	4.5	10	23
xY	361	201806111542005 	121.7483	23.9805	4.51	6.68	121.74	23.97	4.5	10	21
xY	362	201806112052027 	121.7612	23.9805	4.68	5.09	121.72	23.98	4.5	10	22
xY	363	201806152053055 	121.8367	24.6663	5.33	63.21	121.7	24.85	4.8	30	23
xY	364	201807020726010 	120.4788	23.438	4.57	12.05	120.48	23.44	4.6	10	14
xY	365	201807030920054 	120.9015	23.1605	4.84	1.01	120.92	23.15	4.9	10	30
xY	366	201807111241049 	120.2143	23.0305	4.54	16.75	120.24	23.04	4.5	10	23
xY	367	201807131838039 	121.1668	22.9935	4.84	8.01	121.16	23.02	5.2	20	15
xY	368	201808021338018 	120.696	23.6375	4.86	13.14	120.68	23.65	5.1	10	15
xY	369	201808171009042 	121.0128	24.0127	4.92	18.8	121.03	23.98	5	10	14
xY	370	201808180015017 	121.0032	24.0197	5.19	19.11	121.05	24.04	5.5	20	16
xY	371	201808220423004 	122.06	24.9	3.92	14.73	122.13	24.83	4.5	10	19
xY	372	201809030559049 	121.536	24.0903	4.46	19.67	121.53	24.08	4.6	20	17
xY	373	201809110443026 	121.5215	23.874	4.57	10.31	121.53	23.88	4.7	10	17
xY	374	201810090812058 	121.375	22.9163	4.63	24.77	121.39	22.88	4.7	10	27
xY	375	201810100943011 	122.0423	24.905	4.55	14.49	121.96	24.9	4.9	10	19
xY	376	201810230434058 	122.624	24.0025	6.11	31.19	122.68	23.94	6.2	40	32
xY	377	201810231604004 	122.6308	23.9932	5.9	30.1	122.63	23.89	5.8	10	31
xY	378	201811100151019 	120.2193	23.3555	4.42	7.2	120.22	23.36	4.6	10	20
xY	379	201811191631034 	121.9195	24.4098	4.73	39.15	121.8	24.42	4.5	20	21
xY	380	201811252357023 	118.5237	23.384	6.21	12.31	118.77	23.41	6	20	39
xY	381	201812091515041 	121.517	24.0518	5.16	19.68	121.55	24.03	5.3	20	16
xY	382	201812121324023 	121.5233	23.9062	5.09	12.37	121.52	23.89	5.4	10	16
xY	383	201812152121005 	121.9102	23.734	5.8	32.87	121.88	23.75	5.6	30	21
xY	384	201812250356044 	120.7992	22.5883	4.56	5.77	120.88	22.77	4.5	10	25
xY	385	201901031802048 	120.9718	22.8953	4.94	4.79	120.94	22.9	4.8	10	16
xY	386	201901032259020 	120.9567	22.888	4.47	4.9	120.93	22.9	4.5	10	16
xY	387	201901131828026 	121.2057	22.9332	4.36	28.54	121.33	22.9	4.5	10	25
xY	388	201901300521036 	122.3857	23.7497	5.97	38.75	122.08	23.81	5.6	30	27
xY	389	201902071652004 	120.6057	23.2605	5.07	13.71	120.63	23.27	4.7	10	15
xY	390	201903080232014 	121.3977	22.4375	5.36	24.08	121.37	22.4	5.7	10	31
xY	391	201903122019015 	121.8555	25.0177	5.39	138	121.76	25.02	4.8	40	27
xY	392	201903130432034 	121.5887	23.595	5.42	35.91	121.55	23.62	5.3	30	20
xY	393	201903190401034 	121.9343	24.7507	4.91	83.17	121.74	24.84	4.5	40	23
xY	394	201904010254035 	122.2407	24.934	5.12	128.64	121.71	24.97	4.8	50	32
xY	395	201904030152055 	120.8683	22.9373	5.95	4.87	120.87	22.98	5.6	10	16
xY	396	201904040156055 	120.863	22.9827	5.51	3.48	120.88	22.95	5.3	10	15
xY	397	201904052124055 	120.6858	22.823	4.56	16.92	120.69	22.79	4.5	10	18
xY	398	201904091513021 	121.5677	23.9835	5.12	11.65	121.59	23.99	5.2	10	19
xY	399	201904092024013 	121.5573	23.9662	4.87	10.25	121.58	23.98	5	10	16
xY	400	201904092257052 	121.8787	24.1873	5.03	25.67	121.76	24.2	4.8	10	19
xY	401	201904151526022 	121.52	24.0452	4.22	20.03	121.53	24.03	4.5	20	17
xY	402	201904180501007 	121.5592	24.0543	6.32	20.33	121.53	24.05	6.1	20	14
xY	403	201904180517026 	121.5298	24.0815	4.23	20.62	121.52	24.06	4.5	20	20
xY	404	201905021044043 	121.9417	24.4862	4.92	41.15	121.88	24.46	4.8	30	17
xY	405	201905081548047 	122.49	24.8217	5.1	122.72	121.75	24.65	4.6	40	36
xY	406	201905130855021 	121.9005	24.7522	5.2	87.98	121.66	24.78	4.9	50	35
xY	407	201905220137024 	121.6433	23.9618	4.81	28.8	121.61	24	4.6	20	17
xY	408	201905230612049 	121.5488	24.0167	4.96	14.45	121.55	23.99	5	20	16
xY	409	201905311553018 	120.5778	22.9227	4.81	13.44	120.61	22.92	4.6	10	15
xY	410	201906040946018 	121.6117	22.8423	5.93	14.68	121.37	22.94	5.8	10	24
xY	411	201906051927020 	121.5773	23.8332	4.65	22.41	121.61	23.85	4.6	20	17
xY	412	201906291944012 	122.3563	22.3208	5.84	46.56	121.63	22.61	5.5	10	41
xY	413	201908021353008 	121.5253	23.7087	4.65	4.22	121.53	23.71	4.6	10	18
xY	414	201908022224043 	121.536	23.6878	4.96	4.1	121.5	23.71	4.7	10	19
xY	415	201908060119048 	121.5303	23.6725	5.1	4.57	121.48	23.67	5	10	18
xY	416	201908072128003 	121.9097	24.4363	6.24	24.15	121.88	24.45	6.4	20	18
xY	417	201908072302022 	121.818	24.6082	4.65	68.01	121.71	24.84	4.5	30	25
xY	418	201908152141040 	120.7168	23.5662	4.71	17.75	120.72	23.59	4.8	20	11
xY	419	201908180405014 	121.5352	23.7433	4.97	6.6	121.52	23.74	4.8	10	16
xY	420	201911250132042 	121.7465	24.034	4.6	5.14	121.72	24.03	4.5	10	31
xY	421	201912161125057 	121.7618	24.5418	5.25	49.73	121.74	24.55	5	40	17
xY	422	201912311910010 	121.671	24.0833	4.95	10.8	121.67	24.07	4.6	10	18
xY	423	202001060653055 	120.259	23.377	4.84	8.53	120.25	23.39	4.8	10	16
xY	424	202002151100006 	121.5107	23.8563	5.73	8.32	121.54	23.83	5.9	10	16
xY	425	202002151105000 	121.5212	23.8482	5.31	9.05	121.53	23.85	4.6	10	17
xY	426	202002151920013 	121.5237	23.8468	5.1	8.7	121.57	23.83	4.6	10	18
xY	427	202002251114002 	121.4062	24.3915	5.3	5.13	121.39	24.4	5	10	13
xY	428	202002260534015 	121.6157	23.8768	4.91	26.53	121.57	23.95	4.5	20	17
xY	429	202005030324040 	121.568	23.2423	5.97	40.25	121.43	23.22	5.9	40	16
xY	430	202005242231030 	121.9538	24.359	5.24	23.78	121.9	24.37	4.6	10	19
xY	431	202005281934023 	120.7563	23.6453	4.65	14	120.76	23.65	4.5	10	10
xY	432	202005301302030 	121.5542	24.098	4.89	17.53	121.56	24.1	4.8	20	12
xY	433	202006070149023 	121.6408	24.1283	4.97	12.1	121.67	24.12	5.1	10	13
xY	434	202006120021035 	121.6877	24.0105	4.75	31.42	121.6	24	4.7	20	16
xY	435	202006132018059 	122.435	24.2632	6.09	55.55	121.92	24.33	5.5	20	22
xY	436	202006162317000 	121.9738	24.628	4.88	61.44	121.91	24.61	4.8	40	15
xY	437	202006262327044 	120.8377	23.0502	5.05	5.37	120.84	23.05	4.9	10	12
xY	438	202006110138026 	122.3857	24.4998	5.43	90.79	121.89	24.51	4.7	40	14
xY	439	202007090324023 	121.6765	24.1503	4.93	29.38	121.65	24.16	4.5	20	15
xY	440	202007090412003 	121.6703	24.1542	4.74	28.74	121.67	24.13	4.5	20	17
xY	441	202007261252029 	122.4215	24.2552	6.24	53.59	121.91	24.36	5.7	10	23
xY	442	202008190033001 	120.3875	23.2302	4.55	10.99	120.38	23.23	4.9	10	9
xY	443	202008190313031 	120.3908	23.2233	4.75	10.89	120.39	23.23	5	10	10
xY	444	202008190817018 	121.0015	22.6208	4.29	7.48	121	22.63	4.6	10	13
xY	445	202008262215008 	123.1832	24.9733	5.58	139.99	121.9	24.84	4.5	30	36
xY	446	202009020844039 	121.2055	22.7595	4.72	32.23	121.25	22.81	4.5	20	21
xY	447	202009170137052 	121.3323	23.049	4.99	19.11	121.32	23.04	4.7	10	11
xY	448	202009282050054 	121.0205	22.383	5.37	11.5	121.02	22.4	5.2	10	13
xY	449	202009290114017 	121.0203	22.3747	5.08	11.67	121.04	22.38	5.1	10	14
xY	450	202009300437020 	122.1005	24.8355	6.02	105.95	122.07	24.9	5.4	50	20
xY	451	202010121539044 	121.8987	24.5052	4.87	10.92	121.94	24.49	4.7	10	12
xY	452	202010162106038 	120.2428	23.0825	4.04	17.35	120.08	23.17	5.3	100	9
xY	453	202010171207055 	120.3762	23.284	4.26	13.6	120.48	23.21	5.5	90	9
xY	454	202010171503013 	120.3765	23.2762	5.31	15.8	120.37	23.3	4.9	10	9
xY	455	202010171505059 	120.3825	23.2825	4.7	15	120.34	23.44	5	10	9
xY	456	202011051836012 	121.3718	22.5997	5.43	25.85	121.37	22.66	5.4	30	13
xY	457	202011261554052 	121.89	24.7	4	76.4	121.81	24.76	3.9	50	19
xY	458	202011291342014 	122.27	24.2	5.1	32.9	121.92	24.28	4.9	10	18
xY	459	202012100529038 	121.57	23.43	5.3	36.3	121.45	23.48	5.5	20	23
xY	460	202012101319058 	122.03	24.74	6.7	76.8	121.93	24.71	5.9	40	17
xY	461	202012101815008 	121.99	24.53	5.6	63.2	121.9	24.54	5.7	40	16
xY	462	20210102212646 	122.31	24.02	4.7	23	121.68	23.97	5.5	20	41.7
xY	463	20210109193552 	122.04	24.72	5.7	72.2	121.85	24.85	5.5	40	16.1
xY	464	20210110112329 	121.45	23.78	4.9	13.9	121.46	23.77	4.6	10	12.4
xY	465	20210117071059 	121.35	22.54	5.4	20	121.19	22.72	4.9	10	12.6
xY	466	20210128152932 	120.98	22.54	5	8.5	120.96	22.51	5.3	10	10
xY	467	20210207013603 	122.6	24.66	6.1	112	122.07	24.44	5.2	10	23.9
xY	obs	20210209005803 	122.02	24.37	5.7	23.9	122.03	24.36	4.8	10	13.7
xY	469	20210218023848 	121.38	22.23	5.2	19.3	121.08	22.28	5.3	40	23.3
xY	470	20210302172300 	121.13	21.91	5.8	31.2	121.11	22	5.9	20	19.1
xY	471	20210304222458 	122.28	24.78	4.7	11.2	122.16	24.74	4.6	10	26
xY	472	20210328144118 	122.77	24.54	5.2	98.7	121.79	24.7	4.5	40	27.9
xY	473	20210407211936 	121.47	23.84	4.9	17.1	121.48	23.86	4.5	20	13.9
xY	474	20210415020936 	122.05	24.83	4.5	13.7	122.01	24.79	4.5	10	23.2
xY	475	20210418221139 	121.49	23.87	5.8	15	121.46	23.87	5.7	10	14.3
xY      475     20210418221437  121.48  23.86   6.2     14.4    121.4949 23.7984 5.8    10      10.2            											
xY	462	20210503130731 	123.93	25.46	6.4	201.9	122.79	24.78	5.8	30	62.9
xY	462	20210508052415 	120.82	22.73	4.6	3.6	120.84	22.72	4.6	10	12.5
xY	462	20210526004800 	121.49	23.94	5	20.2	121.51	23.98	4.6	20	13.5
xY	462	20210611131248 	121.54	23.9	5	11.2	121.57	23.96	5.6	10	10.5
xY	462	20210611131422 	121.54	23.89	4.3	11.9	121.7	23.95	4.9	30	13
xY	462	20210611153326 	121.53	23.89	5.3	11.2	121.55	23.93	5.8	10	9.8
xY	462	20210611153643 	121.53	23.89	4.9	12.8	121.53	23.9	4.6	10	12.1
xY	462	20210612055858 	121.059 22.6543	5.3	5.9	121.042	22.722  5.12    10	10			
xY	462	20210620225013 	121.48	23.8	4.9	10.6	121.46	23.7	4.5	10	12.5
xY	462	20210623134024 	121.51	24.06	4.9	21.4	121.53	24.07	4.6	20	13.2
xY	462	20210628170818 	121.46	23.87	4.7	19.7	121.5	23.88	4.8	40	14.8
xY	462	20210708061155 	121.58	23.9	5.4	9.6	121.55	23.91	5.6	20	13.4
xY	462	20210714065205 	121.6	23.95	5.2	5.9	121.62	23.93	4.7	10	14.6
xY	462	20210714065349 	121.62	23.93	4.1	6.7	121.6	23.93	4.6	10	37.3
xY	462	20210714065924 	121.66	23.9	5	9.5	121.49	23.97	4.4	10	13.8
xY	462	20210714071430 	121.6	23.97	4.5	6.8	121.65	23.94	4.8	10	24
xY	462	20210714074526 	121.66	23.93	5	5.4	121.6	23.94	4.5	10	13.1
xY	462	20210714113633 	121.6	23.96	4.5	8.9	121.66	23.88	4.6	20	17.9
xY	462	20210715010044 	121.6	23.92	4.7	6.1	121.16	23.91	4.5	10	17.8
xY	462	20210716070504 	121.6	23.97	4.7	6.8	121.6	23.96	4.5	10	14.6
xY	462	20210716072926 	121.61	23.97	4.7	5.4	121.64	23.95	4.6	10	15.3
xY	462	20210726194011 	121.6	24.02	4.2	5	121.5	24.11	4.5	10	32.6
xY	462	20210805055045 	122.32	24.8	6	7	122.26	24.74	6	10	23.6
xY	462	20210805055627 	122.28	24.78	5.3	16.5	122.09	24.72	5	10	25.9
xY	462	20210806161104 	122.19	24.79	5.6	13.3	122.19	24.77	5.4	10	16.3
xY	462	20210806191230 	121.29	23.16	5.4	7.2	121.27	23.17	4.9	10	12.5
xY	462	20210819231250 	121.65	23.95	4.3	7.4	121.67	23.94	4.5	10	28.3
xY	462	20210822195201 	120.58	23.16	4.7	13.9	120.62	23.15	5	10	10.3
xY	462	20210901062756 	120.71	23.27	4.9	13.7	120.64	23.26	4.7	10	9.8
xY	462	20210902185658 	120.54	23.18	4.7	4.1	120.52	23.15	4.6	10	8.3
xY	462	20210902190924 	120.53	23.17	4.2	4.3	120.57	23.17	4.5	10	18.9
xY	462	20210906220026 	122.08	23.85	5.9	41.1	122.17	23.96	5.2	10	15.7
xY	462	20210913184127 	121.01	24.12	5.6	46.1	120.88	24.19	4.6	10	13.7
xY	462	20210926170511 	121.68	24.32	5.7	46.1	121.67	24.27	5.1	10	13.4
xY	462	20211004140750 	122.25	24.78	5	3.9	122.02	24.7	4.6	20	24.1
xY	462	20211018134918 	121.67	24.2	5.2	31.4	121.65	24.21	4.6	20	14.3
xY	462	20211023111604 	121.65	24.07	5.3	26.8	121.57	24.1	5	10	11.9
xY	462	20211024131134 	121.78	24.53	6.5	65.6	121.8	24.55	6.1	10	15.3
xY	462	20211114210515 	121.94	24.57	5.4	66.2	121.84	24.59	4.8	10	15.5
xY	obs	20211124175518 	122.41	24.05	5.3	26.8	122.2	24.12	5	10	19.7
xY	462	20211206210551 	122.05	24.86	5.5	105.4	121.7	24.93	4.7	40	26
xY	462	20211219040249 	121.36	22.96	4.5	22.3	121.35	22.97	4.7	20	10.6
xY	462	20211221185930 	120.52	23.12	4.6	10.1	120.55	23.1	5.1	10	10.5
xY	462	20220103174637 	122.17	24.02	6	22.4	122.14	24.07	4.5	10	16.3
xY	462	20220104071729 	122.16	24.08	5.2	24.1	122.22	24.01	5.1	30	25.5
xY	462	20220108051219 	120.84	24.21	4.7	33.2	120.84	24.24	4.5	20	10.9
xY	462	20220116161541 	122.25	24.18	5.6	55.5	122.13	24.25	5.3	10	17.3
xY	462	20220125223553 	121.95	24.63	5.1	64.7	121.95	24.67	4.9	30	16.3
xY	462	20220207185825 	121.96	24.4	5.5	33.2	121.84	24.47	5.1	10	11.9
xY	462	20220212004312 	122.31	24.01	5.6	22.8	121.83	24.16	4.9	20	24.52
xY	462	20220216134159 	121.46	23.91	4.4	20.6	121.49	23.87	4.5	10	26.03
xY	462	20220220184944 	122.43	23.99	4.9	25.9	122.37	23.98	4.7	20	20.38
xY	462	20220309202213 	121.44	23.25	5.6	34.5	121.33	23.2	5.2	10	11.01
xY	462	20220316083452 	120.83	22.3	4.7	39.2	120.81	22.31	4.6	20	15.39
xY	462	20220318205056 	122.16	23.98	4.7	13.8	122.17	24.02	4.9	20	21.15
xY	462	20220319030418 	124.12	25.43	6.3	188	122.1	24.5	5.1	10	45.85
xY	462	20220319232342 	120.69	23.64	5.1	15.1	120.69	23.71	5.3	10	9.2
xY	462	20220323014139 	121.52	23.43	6.6	30.6	121.46	23.42	7	20	11.93
xY	462	20220323033503 	121.52	23.48	5.8	26	121.46	23.49	5.9	20	16.54
xY	462	20220323042959 	121.44	23.42	5.8	21	121.39	23.44	6.3	20	18.2
xY	462	20220402234220 	121.53	22.84	4.5	18.2	121.45	22.84	4.5	10	13.3
xY	462	20220404095045 	120.57	23.09	4.9	9.4	120.48	23.08	4.9	10	9.2
xY	462	20220407114100 	121.34	23.09	4.9	19.6	121.38	23.07	5.1	20	10.1
xY	462	20220412121438 	120.64	22.9	4.6	17.2	120.71	22.93	4.5	10	11.6
xY	462	20220415030658 	121.51	23.72	4.9	6.6	121.49	23.73	4.5	10	16.5
xY	462	20220423153136 	121.61	23.97	4.6	39.3	121.55	23.98	4.7	40	14.7
xY	462	20220424015348 	121.82	24.63	5.1	69.3	121.89	24.58	4.5	40	15.9
xY	462	20220424182350 	123.2	23.49	5.7	50.5	121.9	24.07	4.5	10	30.5
xY	462	20220503024313 	121.66	24.07	4.8	29.2	121.62	24.07	4.5	20	14.9
xY	462	20220509142303 	122.53	23.97	6.2	16.8	122.43	24.05	6	20	25.7
xY	462	20220509154552 	122.59	23.94	5.3	29.5	122.56	23.89	5.2	30	31.4
xY	462	20220509233535 	122.21	24.82	4.9	111.9	121.82	24.88	4.5	50	28.6
xY	462	20220519075247 	123.57	23.39	5.5	42.9	122.18	23.39	4.8	30	48
xY	462	20220526045820 	120.87	22.99	4.5	2.8	120.91	23.02	4.5	10	12
xY	462	20220607095754 	123.52	25.54	6	224.3	122.02	24.75	4.5	10	44.5
xY	462	20220620090507 	121.47	23.68	6	6.8	121.45	23.72	6.2	10	15.5
xY	462	20220620093943 	121.47	23.73	5	6.5	121.48	23.75	5	10	12.4
xY	462	20220624063220 	122.55	24.03	5.1	29.1	122.38	24.14	5.2	20	26.6
xY	462	20220625102719 	121.42	23.63	4.9	8	121.24	23.68	4.8	10	12.2
xY	462	20220625213435 	121.43	23.62	5.1	9.9	121.4	23.59	4.8	10	9.4
xY	462	20220628040700 	120.12	22.03	5	42.6	120.6	22.32	4.8	10	19
xY	462	20220628214330 	120.2	21.99	5.3	40.9	120.53	22.44	4.7	10	17.9
xY	462	20220708195748 	121.99	24.84	4.3	8	122.02	24.84	4.5	10	13.5
xY	462	20220724083235 	121.48	23.26	5.2	29.6	121.37	23.33	5.5	40	14.9
xY	462	20220728081616 	121.37	22.98	5.4	43.6	121.44	22.94	5.3	30	20.3
xY	462	20220820120750 	122.31	24.12	4.8	27.1	122.28	24.11	4.9	20	29.22
xY	462	20220822105303 	123.55	25.11	5.7	161.5	121.98	24.58	5.1	10	38.82
xY	462	20220901150157 	121.34	23.12	4.6	35.9	121.34	23.1	4.6	40	13.3
xY	462	20220907125043 	121.94	24.8	4.1	5	121.95	24.8	4.5	10	15.2
xY	462	20220914093551 	121.4	22.47	5.3	23.1	121.41	22.53	5.4	30	19
xY	462	20220917214119 	121.16	23.08	6.4	7.3	121.18	23.07	5.7	10	7.9
xY	462	20220917215542 	121.18	23.11	4.9	7	121.16	23.13	5.5	10	8.9
xY	462	20220917221251 	121.21	23.08	4.1	6.5	121.21	23.06	4.5	20	16.7
xY	462	20220917223513 	121.19	23.11	5.3	10	121.16	23.1	5.2	10	15.6
xY	462	20220917224528 	121.2	23.1	5.5	8.8	121.22	23.15	5.7	10	8
xY	462	20220917230010 	121.2	23.1	4.6	19.9	121.19	23.07	4.5	10	23.6
xY	462	20220918020330 	121.33	23.11	4.7	15.2	121.33	23.07	4.8	10	21.5
xY	462	20220918095156 	121.31	23.09	4.5	14.1	121.35	23.1	4.7	20	11
xY	462	20220918100010 	121.31	23.08	4.6	11.5	121.3	23.08	4.5	10	20.2
xY	462	20220918121052 	121.1	22.79	4.7	6.4	121.07	22.8	4.6	10	14.2
xY	462	20220918131919 	121.18	23.13	5.9	11.1	121.13	23.14	5.8	10	10.6
xY	462	20220918135440 	121.2	23.13	4.7	5	121.22	23.13	4.5	10	17.9
xY	462	20220918143203 	121.2	23.14	5.6	7.7	121.23	23.13	5.8	10	8.6
xY	462	20220918144415 	121.2	23.14	6.8	7	121.15	23.17	6.2	10	10.7
xY	462	20220918145711 	121.22	23.33	3.9	13.7	121.33	23.28	5.4	10	10.3
xY	462	20220918145735 	121.2	23.13	5.4	5.3	121.17	23.11	5.4	10	17.3
xY	462	20220918150518 	121.33	23.48	4	8.5	121.33	23.5	4.5	10	26.9
xY	462	20220918152726 	121.19	23.14	4.1	11.3	121.19	23.15	4.6	30	15.5
xY	462	20220918163042 	121.29	23.27	4.2	10.7	121.32	23.28	4.7	20	16
xY	462	20220918164632 	121.18	23.11	5.5	13.5	121.15	23.15	6	20	11.3
xY	462	20220918171934 	121.35	23.37	4.6	12.8	121.33	23.37	4.6	10	16.9
xY	462	20220918173956 	121.29	23.27	5.8	9.5	121.23	23.27	5.6	10	10.7
xY	462	20220918174632 	121.28	23.23	4.8	6.6	121.31	23.27	5.1	20	15.2
xY	462	20220918203334 	121.37	23.38	4.4	14.1	121.37	23.44	4.6	20	14.2
xY	462	20220918204436 	121.19	23.13	4.2	5	120.49	23.35	6	10	11.5
xY	462	20220919100745 	121.32	23.43	5.9	13.4	121.34	23.45	5.7	10	10.4
xY	462	20220919193033 	121.25	23.26	4.5	18.1	121.21	23.18	4.5	20	20.1
xY	462	20220921024203 	121.08	22.89	4.3	8.5	121.08	22.9	4.5	10	14.2
xY	462	20220921091344 	121.16	23.07	4.7	13.9	121.14	23.07	4.8	10	10.5
xY	462	20220922090446 	121.25	23.26	4.3	17.9	121.19	23.2	4.6	10	26.3
xY	462	20220923025421 	121.22	22.9	4.5	9.8	121.19	22.94	4.8	10	11.1
xY	462	20220924153205 	121.24	23.27	4.2	16.4	121.23	23.24	4.5	10	26.3
xY	462	20220926035021 	121.45	23.25	4.2	33.1	121.5	23.25	4.5	20	25.6
xY	462	20220927191109 	121.24	22.94	4.2	8.8	121.22	22.93	4.5	10	16.9
xY	462	20220930223720 	121.29	22.87	4.8	17.1	121.28	22.89	4.9	10	12.5
xY	462	20221001035015 	121.25	23.26	4.3	13.8	121.25	23.28	4.5	20	14.3
xY	462	20221003042522 	121.5	23.48	5.3	23.5	121.41	23.52	5	20	15.8
xY	462	20221007003610 	126.86	27.65	5.3	180.3	122.19	24.34	4.6	20	99.4
xY	462	20221007131324 	121.32	23.48	4.5	13.9	121.32	23.5	4.5	10	14.9
xY	462	20221007220655 	121.31	23.44	4.5	13.8	121.31	23.45	4.6	20	15.5
xY	462	20221008215827 	121.25	23.26	4	17.6	121.25	23.25	4.5	10	29.1
xY	462	20221010040341 	121.24	23.26	4.3	16.6	121.3	23.23	4.5	20	24.8
xY	462	20221010044328 	121.8	24.34	4.3	18.9	121.76	24.37	4.5	10	17.5
xY	462	20221010113731 	121.28	22.92	4.4	5	121.26	22.93	4.8	10	17
xY	462	20221010201751 	121.54	23.6	5.3	30.4	121.43	23.65	5.1	20	15.6
xY	462	20221011032442 	122.2	24	5.9	17.9	122.11	24.14	6.1	20	23.2
xY	462	20221013205815 	121.57	23.72	4.4	6.8	121.58	23.72	4.5	10	31.5
xY	462	20221022123810 	121.247	23.2562	4.5	18.5	121.24	23.26	4.5	20	14.4
xY	462	20221027173551 	121.179	23.1272	4.2	13.8	121.47	23.03	4.5	20	29.8
xY	462	20221028233043 	122.035	24.6158	5.1	63.9	121.95	24.65	5.3	40	16.3
xY	462	20221031164827 	121.209	22.9142	5	10	121.2	22.89	5.6	10	16.3
xY	462	20221101163011 	122.54	24.71	5.7	108.7	121.83	24.6	5.2	40	28
xY	462	20221109154206 	121.24	22.88	4.6	5	121.23	22.9	4.5	10	25.2
xY	462	20221113094745 	121	22.44	5.3	10	120.99	22.46	5.4	10	13.9
xY	462	20221113220908 	121.03	22.45	4.5	6.8	121.01	22.47	4.7	10	14
xY	462	20221115114352 	121.01	22.4	4.5	13.1	120.98	22.44	4.6	10	16.8
xY	462	20221115195321 	121.05	22.4	4.9	9.8	121.01	22.43	4.9	10	15.1
xY	462	20221115203615 	121.5	23.31	4.4	31.8	121.63	23.3	4.6	20	28.5
xY	462	20221116090935 	121.15	23.07	4.5	13.9	121.14	23.08	4.7	10	10.4
xY	462	20221116230207 	121.06	22.42	4.3	7.4	121.01	22.45	4.5	10	21.2
